id,entity_id,value,unit
1,1,0.48869,kg CO2e/kg
2,2,0.387011,kg CO2e/kg
3,3,0.655888,kg CO2e/kg
4,4,0.602368,kg CO2e/kg
5,5,0.458378,kg CO2e/kg
6,6,1.244974,kg CO2e/kg
7,7,0.507354,kg CO2e/kg
8,8,1.382105,kg CO2e/kg
9,9,0.925692,kg CO2e/kg
10,10,0.921227,kg CO2e/kg
11,11,19.314209,kg CO2e/kg
12,12,0.802813,kg CO2e/kg
13,13,0.995644,kg CO2e/kg
14,14,1.868787,kg CO2e/kg
15,15,0.87335,kg CO2e/kg
16,16,1.373308,kg CO2e/kg
17,17,53.976371,kg CO2e/kg
18,18,17.368725,kg CO2e/kg
19,19,70.787474,kg CO2e/kg
20,20,95.034572,kg CO2e/kg
21,21,2.290114,kg CO2e/kg
22,22,129.747715,kg CO2e/kg
23,23,0.686283,kg CO2e/kg
24,24,2.658241,kg CO2e/kg
25,25,3.989251,kg CO2e/kg
26,26,20.105753,kg CO2e/kg
27,27,2.513051,kg CO2e/kg
28,28,0.878761,kg CO2e/kg
29,29,1.493427,kg CO2e/kg
30,30,19.139581,kg CO2e/kg
31,31,0.897402,kg CO2e/kg
32,32,3.324503,kg CO2e/kg
33,33,0.890284,kg CO2e/kg
34,34,2.079189,kg CO2e/kg
35,35,16.28143,kg CO2e/kg
36,36,2.010722,kg CO2e/kg
37,37,0.935163,kg CO2e/kg
38,38,2.087644,kg CO2e/kg
39,39,0.891726,kg CO2e/kg
40,40,2.853384,kg CO2e/kg
41,41,20.749045,kg CO2e/kg
42,42,2.369302,kg CO2e/kg
43,43,2.26636,kg CO2e/kg
44,44,1.220554,kg CO2e/kg
45,45,9.272323,kg CO2e/kg
46,46,5.434487,kg CO2e/kg
47,47,3.616546,kg CO2e/kg
48,48,2.383996,kg CO2e/kg
49,49,2.946765,kg CO2e/kg
50,50,8.164302,kg CO2e/kg
51,51,9.981881,kg CO2e/kg
52,52,9.583456,kg CO2e/kg
53,53,1.344353,kg CO2e/kg
54,54,13.540805,kg CO2e/kg
55,55,5.083679,kg CO2e/kg
56,56,3.952118,kg CO2e/kg
57,57,2.877626,kg CO2e/kg
58,58,4.900424,kg CO2e/kg
59,59,5.3723,kg CO2e/kg
60,60,1.081633,kg CO2e/kg
61,61,3.31999,kg CO2e/kg
62,62,0.528741,kg CO2e/kg
63,63,10.904109,kg CO2e/kg
64,64,9.313182,kg CO2e/kg
65,65,7.815675,kg CO2e/kg
66,66,16.824608,kg CO2e/kg
67,67,20.299764,kg CO2e/kg
68,68,3.357278,kg CO2e/kg
69,69,25.278503,kg CO2e/kg
70,70,11.851271,kg CO2e/kg
71,71,0.846479,kg CO2e/kg
72,72,1.157979,kg CO2e/kg
73,73,3.703237,kg CO2e/kg
74,74,2.448466,kg CO2e/kg
75,75,3.031724,kg CO2e/kg
76,76,1.682228,kg CO2e/kg
77,77,0.847114,kg CO2e/kg
78,78,1.976174,kg CO2e/kg
79,79,2.451197,kg CO2e/kg
80,80,20.620037,kg CO2e/kg
81,81,2.199665,kg CO2e/kg
82,82,1.381512,kg CO2e/kg
83,83,4.4366,kg CO2e/kg
84,84,1.098106,kg CO2e/kg
85,85,14.838609,kg CO2e/kg
86,86,1.947683,kg CO2e/kg
87,87,0.753472,kg CO2e/kg
88,88,0.51752,kg CO2e/kg
89,89,0.826643,kg CO2e/kg
90,90,0.771175,kg CO2e/kg
91,91,0.664775,kg CO2e/kg
92,92,1.203417,kg CO2e/kg
93,93,0.409885,kg CO2e/kg
94,94,3.452116,kg CO2e/kg
95,95,1.648915,kg CO2e/kg
96,96,1.003837,kg CO2e/kg
97,97,19.312073,kg CO2e/kg
98,98,1.781193,kg CO2e/kg
99,99,8.278876,kg CO2e/kg
100,100,4.898891,kg CO2e/kg
101,101,16.172452,kg CO2e/kg
102,102,3.661809,kg CO2e/kg
103,103,1.314393,kg CO2e/kg
104,104,28.783641,kg CO2e/kg
105,105,0.903419,kg CO2e/kg
106,106,1.613707,kg CO2e/kg
107,107,30.740947,kg CO2e/kg
108,108,11.226254,kg CO2e/kg
109,109,26.928289,kg CO2e/kg
110,110,30.87731,kg CO2e/kg
111,111,30.901993,kg CO2e/kg
112,112,10.192565,kg CO2e/kg
113,113,7.259162,kg CO2e/kg
114,114,1.961382,kg CO2e/kg
115,115,0.470153,kg CO2e/kg
116,116,2.53652,kg CO2e/kg
117,117,4.926023,kg CO2e/kg
118,118,0.463008,kg CO2e/kg
119,119,16.849313,kg CO2e/kg
120,120,13.606384,kg CO2e/kg
121,121,1.548921,kg CO2e/kg
122,122,7.40066,kg CO2e/kg
123,123,1.018329,kg CO2e/kg
124,124,0.877038,kg CO2e/kg
125,125,0.861847,kg CO2e/kg
126,126,0.962558,kg CO2e/kg
127,127,1.056536,kg CO2e/kg
128,128,10.800275,kg CO2e/kg
129,129,0.9209,kg CO2e/kg
130,130,16.2332,kg CO2e/kg
131,131,2.271911,kg CO2e/kg
132,132,2.583631,kg CO2e/kg
133,133,2.352917,kg CO2e/kg
134,134,1.013234,kg CO2e/kg
135,135,0.716131,kg CO2e/kg
136,136,0.453281,kg CO2e/kg
137,137,5.184628,kg CO2e/kg
138,138,0.36286,kg CO2e/kg
139,139,0.488848,kg CO2e/kg
140,140,0.46655,kg CO2e/kg
141,141,2.809512,kg CO2e/kg
142,142,1.547809,kg CO2e/kg
143,143,24.01648,kg CO2e/kg
144,144,0.989607,kg CO2e/kg
145,145,1.025583,kg CO2e/kg
146,146,3.43496,kg CO2e/kg
147,147,3.146227,kg CO2e/kg
148,148,0.925555,kg CO2e/kg
149,149,2.515942,kg CO2e/kg
150,150,1.625107,kg CO2e/kg
151,151,0.918662,kg CO2e/kg
152,152,0.932008,kg CO2e/kg
153,153,0.563561,kg CO2e/kg
154,154,1.813626,kg CO2e/kg
155,155,1.500618,kg CO2e/kg
156,156,12.163891,kg CO2e/kg
157,157,11.976514,kg CO2e/kg
158,158,6.186894,kg CO2e/kg
159,159,9.767878,kg CO2e/kg
160,160,1.555169,kg CO2e/kg
161,161,0.774225,kg CO2e/kg
162,162,0.207276,kg CO2e/kg
163,163,4.932853,kg CO2e/kg
164,164,20.911283,kg CO2e/kg
165,165,3.372851,kg CO2e/kg
166,166,1.743729,kg CO2e/kg
167,167,1.323975,kg CO2e/kg
168,168,4.666833,kg CO2e/kg
169,169,1.138642,kg CO2e/kg
170,170,3.288695,kg CO2e/kg
171,171,8.370972,kg CO2e/kg
172,172,5.107338,kg CO2e/kg
173,173,3.92591,kg CO2e/kg
174,174,1.441797,kg CO2e/kg
175,175,3.411126,kg CO2e/kg
176,176,16.294974,kg CO2e/kg
177,177,10.412581,kg CO2e/kg
178,178,6.505735,kg CO2e/kg
179,179,5.849549,kg CO2e/kg
180,180,7.737125,kg CO2e/kg
181,181,2.223783,kg CO2e/kg
182,182,0.851167,kg CO2e/kg
183,183,1.087264,kg CO2e/kg
184,184,0.893108,kg CO2e/kg
185,185,0.49602,kg CO2e/kg
186,186,1.646015,kg CO2e/kg
187,187,7.834703,kg CO2e/kg
188,188,1.009128,kg CO2e/kg
189,189,1.877448,kg CO2e/kg
190,190,7.101864,kg CO2e/kg
191,191,3.241715,kg CO2e/kg
192,192,2.596663,kg CO2e/kg
193,193,1.851686,kg CO2e/kg
194,194,3.661397,kg CO2e/kg
195,195,1.934424,kg CO2e/kg
196,196,0.971203,kg CO2e/kg
197,197,17.621044,kg CO2e/kg
198,198,1.020865,kg CO2e/kg
199,199,2.609794,kg CO2e/kg
200,200,2.271515,kg CO2e/kg
201,201,0.948584,kg CO2e/kg
202,202,13.075355,kg CO2e/kg
203,203,1.948104,kg CO2e/kg
204,204,3.376141,kg CO2e/kg
205,205,1.429291,kg CO2e/kg
206,206,1.309165,kg CO2e/kg
207,207,5.232976,kg CO2e/kg
208,208,2.416308,kg CO2e/kg
209,209,0.969403,kg CO2e/kg
210,210,1.722881,kg CO2e/kg
211,211,3.111811,kg CO2e/kg
